RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea,ReasonHaulDisruption,DateofCalculation
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26057,5,2020,3,5,1500,11,30,D,55.7283,20.0150,55.7183,19.9666,40H0,75,V,5,1,1,R,-9.0000,-9,-9,3229,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,243,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,225,8,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LT,AA36,TVS,-9,-9,-9,26153,6,2020,3,6,0530,11,30,D,55.4900,20.6466,55.5033,20.6083,39H0,64,V,6,1,1,R,-9.0000,-9,-9,2837,-9,-9,-9,-9.0000,-9,-9.0,-9.0,-9,-9.0000,-9,300,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,135,6,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24313,56,2020,3,9,1221,10,30,D,55.0438,13.4390,55.0417,13.4838,39G3,46,V,24313,1,1,R,1.4000,-9,-9,2875,225,-9,-9,-9.0000,-9,72.0,-9.0,-9,-9.0000,-9,97,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,244,7,-9,-9.0000,5.3,5.5,8.34,16.72,-9,-9,20,-9,-9,-9,-9,-9,46,46,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24325,68,2020,3,15,0730,8,30,D,54.6065,12.5993,54.5796,12.6005,38G2,16,V,24325,1,1,R,1.2000,-9,-9,2997,100,-9,-9,-9.0000,-9,57.0,-9.0,-9,-9.0000,-9,182,3.2000,-9.0000,-9,-9.0000,-9,-9.0000,182,14,-9,-9.0000,5.4,5.4,9.92,9.92,-9,-9,20,-9,-9,-9,-9,-9,16,18,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24328,67,2020,3,15,0547,8,30,D,54.6666,12.7435,54.6507,12.7088,38G2,18,V,24328,1,1,R,1.2000,-9,-9,2858,100,-9,-9,-9.0000,-9,56.0,-9.0,-9,-9.0000,-9,227,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,178,15,-9,-9.0000,5.3,5.3,9.95,9.96,-9,-9,20,-9,-9,-9,-9,-9,18,19,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24332,32,2020,3,1,0731,8,30,D,54.3755,14.1903,54.3920,14.1560,37G4,11,V,24332,1,1,R,2.0000,-9,-9,2887,75,-9,-9,-9.0000,-9,45.0,-9.0,-9,-9.0000,-9,299,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,213,12,-9,-9.0000,4.8,4.7,8.61,8.61,-9,-9,20,-9,-9,-9,-9,-9,11,14,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24335,31,2020,3,1,0541,8,30,D,54.1908,14.3097,54.2127,14.2888,37G4,15,V,24335,1,1,R,1.6000,-9,-9,2795,99,-9,-9,-9.0000,-9,50.0,-9.0,-9,-9.0000,-9,340,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,213,12,-9,-9.0000,4.6,4.6,8.30,8.28,-9,-9,20,-9,-9,-9,-9,-9,15,16,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24336,62,2020,3,14,0504,10,30,D,54.8539,13.5355,54.8380,13.5008,38G3,47,V,24336,1,1,R,-9.0000,-9,-9,2845,226,-9,-9,-9.0000,-9,81.0,-9.0,-9,-9.0000,-9,224,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,1,4,-9,-9.0000,5.3,5.8,8.36,18.51,-9,-9,20,-9,-9,-9,-9,-9,47,47,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,14,2020,3,10,0925,10,30,D,57.3533,21.2517,57.3767,21.2583,43H1,54,V,H_14,1,1,C,-9.0000,-9,-9,-9,150,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,5,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,12,-9,1.0000,4.8,4.8,7.38,7.40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,15,2020,3,10,1050,9,20,D,57.4050,21.3450,57.4333,21.3400,43H1,33,V,H_15,1,1,C,-9.0000,-9,-9,-9,100,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,340,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,12,-9,1.0000,4.8,4.8,7.38,7.38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,16,2020,3,10,1225,11,30,D,57.4100,21.2683,57.4333,21.2783,43H1,63,V,H_16,1,1,C,-9.0000,-9,-9,-9,180,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,10,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,12,-9,1.0000,4.8,4.8,7.38,7.38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,17,2020,3,10,1415,11,20,D,57.4850,21.1400,57.5017,21.1367,43H1,69,V,H_17,1,1,C,-9.0000,-9,-9,-9,200,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,350,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,12,-9,1.0000,4.9,4.9,7.41,7.47,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,SE,77SE,TVL,75,-9,-9,92,52,2020,3,8,1245,10,30,D,55.8158,15.3975,55.8262,15.4385,40G5,50,V,143,1,1,C,6.4000,-9,-9,2852,230,-9,-9,4.4000,720,62.0,26.0,213,-9.0000,488,66,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,160,11,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DE,06SL,TVS,-9,-9,-9,24311,42,2020,3,3,0724,10,30,D,54.9978,14.2487,55.0166,14.2780,38G4,46,V,24311,1,1,R,1.4000,-9,-9,2811,250,-9,-9,-9.0000,-9,80.0,-9.0,-9,-9.0000,-9,51,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,94,5,-9,-9.0000,5.2,6.2,8.26,17.75,-9,-9,20,-9,-9,-9,-9,-9,46,47,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,8,2020,3,9,0835,12,30,D,57.1683,20.5917,57.1917,20.5967,43H0,95,V,H_8,1,1,C,-9.0000,-9,-9,-9,250,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,5,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,180,12,-9,1.0000,4.7,7.1,7.45,11.38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,9,2020,3,9,1020,11,30,D,57.1983,20.7167,57.2183,20.7100,43H0,78,V,H_9,1,1,C,-9.0000,-9,-9,-9,210,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,340,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,12,-9,1.0000,4.8,6.1,7.39,9.93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,10,2020,3,9,1200,11,30,D,57.2017,20.7400,57.2250,20.7333,43H0,65,V,H_10,1,1,C,-9.0000,-9,-9,-9,190,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,350,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,12,-9,1.0000,4.8,4.9,7.39,7.43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,11,2020,3,9,1420,11,30,D,57.3250,20.9400,57.3383,20.9083,43H0,62,V,H_11,1,1,C,-9.0000,-9,-9,-9,180,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,305,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,10,-9,1.0000,4.9,4.9,7.40,7.40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,12,2020,3,10,0550,10,30,D,57.2467,21.1217,57.2650,21.1433,43H1,57,V,H_12,1,1,C,-9.0000,-9,-9,-9,150,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,30,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,10,-9,1.0000,4.8,4.9,7.42,7.44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,13,2020,3,10,0730,10,30,D,57.2183,21.1233,57.2400,21.1400,43H1,45,V,H_13,1,1,C,-9.0000,-9,-9,-9,125,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,15,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,10,-9,1.0000,4.8,4.8,7.40,7.40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,2,2020,3,8,0740,12,20,D,56.5383,20.2500,56.5250,20.2350,42H0,93,V,H_2,1,1,C,-9.0000,-9,-9,-9,250,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,210,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,225,4,-9,0.1000,4.9,7.1,7.48,11.35,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,3,2020,3,8,0935,12,30,D,56.5900,20.3300,56.5700,20.3050,42H0,92,V,H_3,1,1,C,-9.0000,-9,-9,-9,250,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,215,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,4,-9,0.5000,5.2,7.1,7.50,11.43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,4,2020,3,8,1115,12,30,D,56.5833,20.3533,56.5717,20.3217,42H0,88,V,H_4,1,1,C,-9.0000,-9,-9,-9,225,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,235,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,7,-9,0.5000,5.2,7.0,7.50,11.28,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,5,2020,3,8,1350,11,30,D,56.6417,20.5900,56.6617,20.5967,42H0,60,V,H_5,1,1,C,-9.0000,-9,-9,-9,175,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,10,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,7,-9,0.5000,4.9,5.1,7.40,7.60,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,6,2020,3,8,1520,10,30,D,56.6400,20.6000,56.6600,20.6133,42H0,59,V,H_6,1,1,C,-9.0000,-9,-9,-9,175,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,20,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,10,-9,0.5000,4.9,4.9,7.38,7.47,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,7,2020,3,9,0620,12,30,D,57.0483,20.5517,57.0700,20.5633,43H0,90,V,H_7,1,1,C,-9.0000,-9,-9,-9,250,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,15,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,180,10,-9,1.0000,4.8,7.0,7.44,11.34,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,116,57,2020,3,10,1322,9,30,D,55.7914,10.8351,55.7765,10.8559,40G0,25,V,115,1,1,R,1.4000,-9,-9,2109,150,-9,-9,-9.0000,-9,60.2,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,203,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,117,58,2020,3,11,0649,8,30,D,55.9796,10.9288,55.9838,10.8842,40G0,18,V,118,1,1,R,1.4000,-9,-9,2813,135,-9,-9,-9.0000,-9,61.4,-9.0,-9,-9.0000,-9,-9,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,270,14,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,119,59,2020,3,11,0856,9,30,D,56.0638,11.0681,56.0876,11.0810,41G1,24,V,120,1,1,R,1.4000,-9,-9,2767,135,-9,-9,-9.0000,-9,61.1,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,10,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,121,60,2020,3,11,1056,9,30,D,56.1984,10.9644,56.2236,10.9629,41G0,20,V,122,1,1,R,1.3000,-9,-9,2795,135,-9,-9,-9.0000,-9,57.2,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,123,61,2020,3,11,1327,8,30,D,56.3922,11.1122,56.3984,11.1553,41G1,18,V,124,1,1,R,1.5000,-9,-9,2743,135,-9,-9,-9.0000,-9,56.6,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,10,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,LV,67BC,TVL,75,R,T,1,1,2020,3,8,0605,12,20,D,56.4683,20.2083,56.4867,20.2150,41H0,82,V,H_1,1,1,C,-9.0000,-9,-9,-9,220,16,-9,4.3000,520,-9.0,-9.0,-9,-9.0000,-9,10,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,360,7,-9,0.5000,4.9,6.8,7.46,10.96,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26045,69,2020,3,2,1120,12,15,D,55.2717,19.0867,55.2600,19.0917,39G9,82,V,134,1,1,C,7.0000,-9,-9,1341,225,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,167,2.8000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,4.9,8.1,7.47,12.02,Y,64,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26257,70,2020,3,2,1448,13,0,D,54.9283,19.0533,54.9283,19.0533,38G9,103,N,136,1,1,C,7.0000,-9,-9,0,-9,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.1,8.5,7.47,12.47,Y,75,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,108,53,2020,3,9,1159,9,24,D,55.5559,10.9220,55.5742,10.9103,40G0,30,V,107,1,1,R,1.4000,-9,-9,2163,150,-9,-9,-9.0000,-9,56.3,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,3,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,109,54,2020,3,10,0628,8,30,D,55.6344,9.9875,55.6403,10.0304,40F9,13,V,110,1,1,R,1.5000,-9,-9,2772,135,-9,-9,-9.0000,-9,56.8,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,180,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,111,55,2020,3,10,0929,8,30,D,55.6518,10.5233,55.6316,10.5494,40G0,16,V,112,1,1,R,1.6000,-9,-9,2776,135,-9,-9,-9.0000,-9,60.4,-9.0,-9,-9.0000,-9,-9,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,180,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,DK,26HF,TVS,-9,S,-9,113,56,2020,3,10,1104,9,15,D,55.6773,10.6422,55.6657,10.6431,40G0,31,V,114,1,1,R,1.6000,-9,-9,1297,150,-9,-9,-9.0000,-9,53.9,-9.0,-9,-9.0000,-9,-9,2.9000,-9.0000,-9,-9.0000,-9,-9.0000,180,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,SE,77SE,TVL,75,-9,-9,89,49,2020,3,7,1316,9,26,D,55.3122,13.8152,55.3165,13.8517,39G3,37,V,140,1,1,C,6.8000,-9,-9,2352,200,-9,-9,4.4000,720,62.0,25.0,213,-9.0000,488,79,2.9000,-9.0000,27,0.5000,-9,-9.0000,300,4,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,SE,77SE,TVL,75,-9,-9,90,50,2020,3,7,1509,9,30,D,55.2573,13.9900,55.2603,13.9458,39G3,38,V,141,1,1,C,7.0000,-9,-9,2852,220,-9,-9,4.4000,720,58.0,23.0,213,-9.0000,488,277,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,270,3,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,SE,77SE,TVL,75,-9,-9,91,51,2020,3,8,0820,9,30,D,55.7030,14.3763,55.7092,14.4188,40G4,38,V,142,1,1,C,6.8000,-9,-9,2778,200,-9,-9,4.4000,720,56.0,24.0,213,-9.0000,488,75,3.0000,-9.0000,-9,-9.0000,-9,-9.0000,160,10,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26221,66,2020,3,1,1256,13,0,D,55.9190,18.5933,55.9190,18.5933,40G8,112,N,131,1,1,C,-9.0000,-9,-9,0,-9,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,4.8,7.6,7.51,11.94,Y,54,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26140,67,2020,3,1,1439,14,0,D,56.0050,18.9017,56.0050,18.9017,41G8,121,N,132,1,1,C,-9.0000,-9,-9,0,-9,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,4.9,8.0,7.51,12.17,Y,63,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,PL,67BC,TVL,75,-9,T,26138,68,2020,3,2,0603,13,0,D,55.8783,18.8183,55.8783,18.8183,40G8,117,N,133,1,1,C,-9.0000,-9,-9,0,-9,16,12,4.3000,520,-9.0,-9.0,213,-9.0000,47,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,5.0,7.7,7.51,12.02,Y,60,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
HH,BITS,1,SE,77SE,TVL,75,-9,-9,83,43,2020,3,6,1116,11,26,D,55.4905,14.6322,55.4797,14.5973,39G4,60,V,136,1,1,C,6.3000,-9,-9,2500,240,-9,-9,4.4000,720,69.0,28.0,213,-9.0000,488,241,3.1000,-9.0000,-9,-9.0000,-9,-9.0000,60,12,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20220407
